,Gesture Time Window,Training Dataset,Eval Dataset,Accuracy
0,0.5 seconds,Real - Full,Real - Full,1.0
1,0.5 seconds,Real - Full,Real - Validation,1.0
2,0.5 seconds,Real - Full,Synthetic - Validation,0.21188799738005568
3,0.5 seconds,Real - Training,Real - Full,0.8930635838150289
4,0.5 seconds,Real - Training,Real - Validation,0.7
5,0.5 seconds,Real - Training,Synthetic - Validation,0.21753725233338791
6,0.5 seconds,Synthetic - Full,Real - Full,0.4653179190751445
7,0.5 seconds,Synthetic - Full,Real - Validation,0.38571428571428573
8,0.5 seconds,Synthetic - Full,Synthetic - Validation,0.9960700835107253
9,0.5 seconds,Synthetic - Training,Real - Full,0.4277456647398844
10,0.5 seconds,Synthetic - Training,Real - Validation,0.35714285714285715
11,0.5 seconds,Synthetic - Training,Synthetic - Validation,0.957016538398559
12,1.0 seconds,Real - Full,Real - Full,1.0
13,1.0 seconds,Real - Full,Real - Validation,1.0
14,1.0 seconds,Real - Full,Synthetic - Validation,0.22007532339937777
15,1.0 seconds,Real - Training,Real - Full,0.9450867052023122
16,1.0 seconds,Real - Training,Real - Validation,0.7285714285714285
17,1.0 seconds,Real - Training,Synthetic - Validation,0.1947764859996725
18,1.0 seconds,Synthetic - Full,Real - Full,0.5173410404624278
19,1.0 seconds,Synthetic - Full,Real - Validation,0.5285714285714286
20,1.0 seconds,Synthetic - Full,Synthetic - Validation,0.9964794498116915
21,1.0 seconds,Synthetic - Training,Real - Full,0.4682080924855491
22,1.0 seconds,Synthetic - Training,Real - Validation,0.4714285714285714
23,1.0 seconds,Synthetic - Training,Synthetic - Validation,0.9737186834779761
24,1.5 seconds,Real - Full,Real - Full,1.0
25,1.5 seconds,Real - Full,Real - Validation,1.0
26,1.5 seconds,Real - Full,Synthetic - Validation,0.22752579007696086
27,1.5 seconds,Real - Training,Real - Full,0.9046242774566474
28,1.5 seconds,Real - Training,Real - Validation,0.6857142857142857
29,1.5 seconds,Real - Training,Synthetic - Validation,0.17627312919600457
30,1.5 seconds,Synthetic - Full,Real - Full,0.4682080924855491
31,1.5 seconds,Synthetic - Full,Real - Validation,0.4714285714285714
32,1.5 seconds,Synthetic - Full,Synthetic - Validation,0.9574259046995252
33,1.5 seconds,Synthetic - Training,Real - Full,0.49421965317919075
34,1.5 seconds,Synthetic - Training,Real - Validation,0.4857142857142857
35,1.5 seconds,Synthetic - Training,Synthetic - Validation,0.9579990175208777
