,campus_correct,campus_total,campus_acc,courtyard_correct,courtyard_total,courtyard_acc,lab_correct,lab_total,lab_acc,lobby_correct,lobby_total,lobby_acc,overall_correct,overall_total,overall_acc
config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,34.0,96.0,0.3541666666666667,100.0,105.0,0.9523809523809523,69.0,105.0,0.6571428571428571,81.0,105.0,0.7714285714285715,284.0,411.0,0.6909975669099757
config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,39.0,189.0,0.20634920634920634,46.0,175.0,0.26285714285714284,51.0,204.0,0.25,14.0,199.0,0.07035175879396985,150.0,767.0,0.19556714471968709
config/exp3_cmd_cfgs/ar_role_verbal_music_best_campus_cmd.yaml,47.0,193.0,0.24352331606217617,47.0,211.0,0.22274881516587677,49.0,210.0,0.23333333333333334,12.0,200.0,0.06,155.0,814.0,0.1904176904176904
config/exp3_cmd_cfgs/ar_role_verbal_music_best_courtyard_cmd.yaml,53.0,193.0,0.27461139896373055,63.0,212.0,0.2971698113207547,65.0,210.0,0.30952380952380953,27.0,200.0,0.135,208.0,815.0,0.2552147239263804
config/exp3_cmd_cfgs/ar_role_verbal_music_best_lab_cmd.yaml,42.0,193.0,0.21761658031088082,43.0,211.0,0.2037914691943128,45.0,210.0,0.21428571428571427,11.0,200.0,0.055,141.0,814.0,0.1732186732186732
config/exp3_cmd_cfgs/ar_role_verbal_music_best_lobby_cmd.yaml,62.0,193.0,0.32124352331606215,72.0,212.0,0.33962264150943394,76.0,210.0,0.3619047619047619,31.0,200.0,0.155,241.0,815.0,0.29570552147239265
config/exp3_cmd_cfgs/ar_role_verbal_srp_best_overall_cmd.yaml,47.0,192.0,0.24479166666666666,49.0,211.0,0.23222748815165878,51.0,210.0,0.24285714285714285,13.0,200.0,0.065,160.0,813.0,0.1968019680196802
config/exp3_cmd_cfgs/ar_role_verbal_srp_best_campus_cmd.yaml,49.0,193.0,0.2538860103626943,45.0,211.0,0.2132701421800948,52.0,210.0,0.24761904761904763,11.0,200.0,0.055,157.0,814.0,0.1928746928746929
config/exp3_cmd_cfgs/ar_role_verbal_srp_best_courtyard_cmd.yaml,56.0,193.0,0.29015544041450775,63.0,211.0,0.2985781990521327,64.0,210.0,0.3047619047619048,26.0,200.0,0.13,209.0,814.0,0.25675675675675674
config/exp3_cmd_cfgs/ar_role_verbal_srp_best_lab_cmd.yaml,39.0,193.0,0.20207253886010362,41.0,211.0,0.1943127962085308,41.0,210.0,0.19523809523809524,10.0,200.0,0.05,131.0,814.0,0.16093366093366093
config/exp3_cmd_cfgs/ar_role_verbal_srp_best_lobby_cmd.yaml,65.0,193.0,0.33678756476683935,74.0,211.0,0.35071090047393366,76.0,210.0,0.3619047619047619,34.0,200.0,0.17,249.0,814.0,0.3058968058968059
config/exp3_cmd_cfgs/ar_role_verbal_tops_best_overall_cmd.yaml,40.0,193.0,0.20725388601036268,43.0,211.0,0.2037914691943128,51.0,209.0,0.24401913875598086,13.0,200.0,0.065,147.0,813.0,0.18081180811808117
config/exp3_cmd_cfgs/ar_role_verbal_tops_best_campus_cmd.yaml,43.0,192.0,0.22395833333333334,49.0,211.0,0.23222748815165878,49.0,209.0,0.23444976076555024,16.0,200.0,0.08,157.0,812.0,0.1933497536945813
config/exp3_cmd_cfgs/ar_role_verbal_tops_best_courtyard_cmd.yaml,56.0,193.0,0.29015544041450775,57.0,210.0,0.2714285714285714,64.0,210.0,0.3047619047619048,32.0,200.0,0.16,209.0,813.0,0.2570725707257073
config/exp3_cmd_cfgs/ar_role_verbal_tops_best_lab_cmd.yaml,35.0,192.0,0.18229166666666666,39.0,211.0,0.1848341232227488,42.0,208.0,0.20192307692307693,12.0,200.0,0.06,128.0,811.0,0.15782983970406905
config/exp3_cmd_cfgs/ar_role_verbal_tops_best_lobby_cmd.yaml,63.0,192.0,0.328125,65.0,211.0,0.3080568720379147,71.0,207.0,0.34299516908212563,33.0,199.0,0.1658291457286432,232.0,809.0,0.2867737948084054
config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,29.0,210.0,0.1380952380952381,34.0,210.0,0.1619047619047619,42.0,209.0,0.20095693779904306,43.0,210.0,0.20476190476190476,148.0,839.0,0.1764004767580453
config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,37.0,210.0,0.1761904761904762,40.0,210.0,0.19047619047619047,60.0,210.0,0.2857142857142857,64.0,210.0,0.3047619047619048,201.0,840.0,0.2392857142857143
config/exp3_cmd_cfgs/ar_role_gesture_r80_w24_cmd.yaml,27.0,210.0,0.12857142857142856,30.0,210.0,0.14285714285714285,35.0,210.0,0.16666666666666666,42.0,210.0,0.2,134.0,840.0,0.1595238095238095
